SUCCESS:  Actions Class Initialised
SUCCESS:  OSCServer Class Initialised
INFO:        CPU: 0.312 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.42700000000000005 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.396 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.20800000000000002 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.32 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.42700000000000005 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.451 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.292 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.177 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.35100000000000003 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.26 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.177 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.381 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.289 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.146 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.33 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.33 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.22699999999999998 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.10400000000000001 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.165 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.198 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.292 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.24 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.177 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.5 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.354 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.469 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.344 | RAM: 0.83 | GPU: 0.98
INFO:        CPU: 0.385 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.42100000000000004 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.325 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.179 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.406 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.366 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.42700000000000005 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.381 | RAM: 0.831 | GPU: 0.98
INFO:        CPU: 0.175 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.48 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.268 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.319 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.305 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.349 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.20199999999999999 | RAM: 0.8320000000000001 | GPU: 0.98
INFO:        CPU: 0.196 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.25 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.268 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.336 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.22699999999999998 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.36700000000000005 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.447 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.406 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.302 | RAM: 0.826 | GPU: 0.98
INFO:        CPU: 0.292 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.41700000000000004 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.43799999999999994 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.44299999999999995 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.22899999999999998 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.474 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.429 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.495 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.43799999999999994 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.495 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.418 | RAM: 0.8270000000000001 | GPU: 0.98
INFO:        CPU: 0.313 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.365 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.299 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.28300000000000003 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.135 | RAM: 0.828 | GPU: 0.98
INFO:        CPU: 0.188 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.531 | RAM: 0.8290000000000001 | GPU: 0.98
INFO:        CPU: 0.344 | RAM: 0.828 | GPU: 0.98
